[ 2013-04-21T13:36:54+08:00 ] /attendance/teacher.php/Lib/getTerm?_dc=1366522614502&query=1%2C2012&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000486s ]
[ 2013-04-21T13:36:54+08:00 ] /attendance/teacher.php/Lib/getTerm?_dc=1366522614502&query=1%2C2012&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `schedule` [ RunTime:0.002447s ]
[ 2013-04-21T13:36:54+08:00 ] /attendance/teacher.php/Lib/getTerm?_dc=1366522614502&query=1%2C2012&page=1&start=0&limit=25 | SQL: SELECT `term` FROM `schedule` WHERE `year`=2012 GROUP BY `term`  [ RunTime:0.000451s ]
[ 2013-04-21T13:36:56+08:00 ] /attendance/teacher.php/Lib/getSeatGrade?_dc=1366522616917&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T13:36:56+08:00 ] /attendance/teacher.php/Lib/getSeatGrade?_dc=1366522616917&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.001369s ]
[ 2013-04-21T13:36:56+08:00 ] /attendance/teacher.php/Lib/getSeatGrade?_dc=1366522616917&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001520s ]
[ 2013-04-21T13:36:56+08:00 ] /attendance/teacher.php/Lib/getSeatGrade?_dc=1366522616917&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T13:36:56+08:00 ] /attendance/teacher.php/Lib/getSeatGrade?_dc=1366522616917&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000767s ]
[ 2013-04-21T13:36:56+08:00 ] /attendance/teacher.php/Lib/getSeatGrade?_dc=1366522616917&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000841s ]
[ 2013-04-21T13:36:56+08:00 ] /attendance/teacher.php/Lib/getSeatGrade?_dc=1366522616917&query=2%2C2012%2C1&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `class` [ RunTime:0.002532s ]
