[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000811s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003176s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000866s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000907s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001225s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001292s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001597s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001647s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009383s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009447s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000803s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000810s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000666s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000873s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003276s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000835s ]
[ 2013-04-03T10:33:33+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000875s ]
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001390s ]
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001468s ]
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001621s ]
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001671s ]
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009924s ]
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009986s ]
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T10:33:59+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000792s ]
[ 2013-04-03T10:34:00+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000777s ]
[ 2013-04-03T10:34:00+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000691s ]
[ 2013-04-03T10:34:00+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001406s ]
[ 2013-04-03T10:34:00+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003802s ]
[ 2013-04-03T10:34:00+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T10:34:00+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000965s ]
[ 2013-04-03T10:34:00+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001008s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001287s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001360s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001717s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001775s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
