[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000843s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000961s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000477s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000566s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.008987s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009088s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000496s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000524s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000284s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000599s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002116s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000594s ]
[ 2013-04-21T10:47:18+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000674s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000440s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000514s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000291s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000338s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.006110s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006170s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000319s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000318s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000187s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000389s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001326s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000356s ]
[ 2013-04-21T10:47:39+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000395s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000815s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000896s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001111s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001165s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.013938s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014000s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000656s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000762s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000550s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000812s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002917s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000798s ]
[ 2013-04-21T10:47:43+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000845s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000819s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000897s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001049s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001098s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.007673s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007728s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000688s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000722s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000574s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000758s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002884s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000826s ]
[ 2013-04-21T10:48:11+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000872s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000801s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000874s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001032s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001082s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.007733s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007792s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000647s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000648s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000818s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000923s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003207s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000776s ]
[ 2013-04-21T10:48:13+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000821s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000463s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000537s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000287s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000332s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.005974s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006078s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000347s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000346s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000291s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000373s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001495s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000388s ]
[ 2013-04-21T10:48:28+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000429s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000810s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000890s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001072s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001125s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.007731s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007792s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000656s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000675s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000522s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000941s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002925s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000875s ]
[ 2013-04-21T10:51:00+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000940s ]
[ 2013-04-21T10:51:11+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T10:51:11+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000813s ]
[ 2013-04-21T10:51:11+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000886s ]
[ 2013-04-21T10:51:11+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T10:51:11+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001138s ]
