[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000463s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000539s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001741s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001807s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.033444s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033504s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000706s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000778s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000550s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000804s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002971s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000782s ]
[ 2013-04-22T10:22:23+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000823s ]
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001028s ]
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001113s ]
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001103s ]
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001180s ]
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.014077s ]
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014140s ]
[ 2013-04-22T10:23:23+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
