[ 2013-04-22T11:57:35+08:00 ] /attendance/index.php/Notice/getNotice?_dc=1366603055202&page=1&start=0&limit=20 | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.002061s ]
[ 2013-04-22T11:57:35+08:00 ] /attendance/index.php/Notice/getNotice?_dc=1366603055202&page=1&start=0&limit=20 | SQL: SELECT `notice`.`id` AS `id`, `notice`.`name` AS `name`, `notice`.`content` AS `content`, `notice`.`teacherid` AS `teacherid`, `notice`.`time` AS `time`, `notice`.`studentid` AS `studentid`, `notice`.`status` AS `status`, `notice`.`isAll` AS `isAll`, `teacher`.`name` AS `teachername`, `student`.`name` AS `studentname`, `student`.`number` AS `studentnumber` FROM `notice` LEFT JOIN `student` ON `student`.`number`=`notice`.`studentid` LEFT JOIN `teacher` ON `teacher`.`number`=`notice`.`teacherid` WHERE `notice`.`studentid`='091402116' ORDER BY `notice`.`id` DESC LIMIT 0, 20 [ RunTime:0.005524s ]
[ 2013-04-22T11:57:35+08:00 ] /attendance/index.php/Notice/getNotice?_dc=1366603055202&page=1&start=0&limit=20 | SQL: SELECT * FROM `notice` WHERE `notice`.`studentid`=091402116  [ RunTime:0.001523s ]
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000809s ]
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000902s ]
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Tag[ view_template ] --START--
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000999s ]
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001049s ]
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.007751s ]
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007806s ]
[ 2013-04-22T11:58:11+08:00 ] /attendance/index.php | INFO: Tag[ view_filter ] --START--
